Number,E,heat,time
HT100008,1.63,1.1,76263
HT100008,49.66,659.66,19920
HT100008,1.1,0.06,52074
HT100008,68.75,912.67,27719
HT100008,1.85,0.82,85023
HT100008,6.79,80.12,2760
HT100008,0.35,0.89,15541
HT100008,0,0,5
HT100008,10.98,132.23,4435
HT100008,0.31,0.33,13490
HT100008,0.05,0,10
HT100008,13.94,167,5482
HT100008,0.74,0.41,34248
HT100008,0,0,11
HT100008,22.42,275.8,8993
HT100008,0.29,0.18,13009
HT100008,0,0.76,11
HT100008,6.6,70.19,2794
HT100008,0.19,0.23,7249
HT100008,0,0,11
HT100008,6.27,68.66,2665
HT100008,0.22,0.64,9409
HT100008,0.03,0,11
HT100008,9.29,111.01,3886
HT100008,0.48,-0.09,21419
HT100008,0,0,11
HT100008,61.95,774.41,24208
HT100008,0.29,0.07,10970
HT100008,0,0.68,10
HT100008,13.75,164.24,5323
HT100008,0.36,0.61,13265
HT100008,2.83,34.48,1200
HT100008,0.26,0.37,8225
HT100008,80.8,1079.28,32763
HT100008,4.14,0.42,165301
HT100008,62.82,788.37,24842
HT100008,1.56,0.32,61624
HT100008,11.44,169.84,6241
HT100008,,,1174538
