ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,ÖÆÈÈ×´Ì¬,11611.25,107251.29,5.6,71.88,2535
HT100008,³ýËª×´Ì¬,11605.65,107179.41,0.06,-0.55,101
HT100008,ÖÆÈÈ×´Ì¬,11605.59,107179.96,6.76,82.56,2905
HT100008,³ýËª×´Ì¬,11598.83,107097.4,0.09,-0.66,100
HT100008,ÖÆÈÈ×´Ì¬,11598.74,107098.06,43.41,538.28,18530
HT100008,´ý»ú×´Ì¬,11555.33,106559.78,2.05,0.49,81661
HT100008,ÖÆÈÈ×´Ì¬,11553.28,106559.29,84.65,955.58,36354
HT100008,³ýËª×´Ì¬,11468.63,105603.71,0.05,-0.94,113
HT100008,ÖÆÈÈ×´Ì¬,11468.58,105604.65,34.98,370,14422
HT100008,³ýËª×´Ì¬,11433.6,105234.65,0.09,-0.36,115
HT100008,ÖÆÈÈ×´Ì¬,11433.51,105235.01,6.2,60.85,2552
HT100008,³ýËª×´Ì¬,11427.31,105174.16,0.05,-0.21,114
HT100008,ÖÆÈÈ×´Ì¬,11427.26,105174.37,7.76,78.83,3277
HT100008,³ýËª×´Ì¬,11419.5,105095.54,0.1,-0.37,115
HT100008,ÖÆÈÈ×´Ì¬,11419.4,105095.91,40.51,450.68,17567
HT100008,³ýËª×´Ì¬,11378.89,104645.23,0.1,-1.28,121
HT100008,ÖÆÈÈ×´Ì¬,11378.79,104646.51,5.83,61.59,2608
HT100008,³ýËª×´Ì¬,11372.96,104584.92,0.08,-0.76,127
HT100008,ÖÆÈÈ×´Ì¬,11372.88,104585.68,5.78,59.61,2613
HT100008,³ýËª×´Ì¬,11367.1,104526.07,0.1,-0.41,123
HT100008,ÖÆÈÈ×´Ì¬,11367,104526.48,5.89,58.72,2557
HT100008,³ýËª×´Ì¬,11361.11,104467.76,0.1,-1.02,128
HT100008,ÖÆÈÈ×´Ì¬,11361.01,104468.78,5.95,58.18,2565
HT100008,³ýËª×´Ì¬,11355.06,104410.6,0.13,-0.83,133
HT100008,ÖÆÈÈ×´Ì¬,11354.93,104411.43,5.98,57.58,2571
HT100008,³ýËª×´Ì¬,11348.95,104353.85,0.08,-1.13,135
HT100008,ÖÆÈÈ×´Ì¬,11348.87,104354.98,5.92,56.86,2574
HT100008,³ýËª×´Ì¬,11342.95,104298.12,0.13,-1.03,138
HT100008,ÖÆÈÈ×´Ì¬,11342.82,104299.15,2.38,21.54,1091
HT100008,´ý»ú×´Ì¬,11340.44,104277.61,1.35,0.38,52622
HT100008,ÖÆÈÈ×´Ì¬,11339.09,104277.23,1.8,16.71,835
HT100008,³ýËª×´Ì¬,11337.29,104260.52,0.12,-1.5,147
HT100008,ÖÆÈÈ×´Ì¬,11337.17,104262.02,5.98,59.31,2561
HT100008,³ýËª×´Ì¬,11331.19,104202.71,0.12,-1.96,149
HT100008,ÖÆÈÈ×´Ì¬,11331.07,104204.67,5.9,59.54,2558
HT100008,³ýËª×´Ì¬,11325.17,104145.13,0.13,-1.04,152
HT100008,ÖÆÈÈ×´Ì¬,11325.04,104146.17,5.64,59.13,2560
HT100008,³ýËª×´Ì¬,11319.4,104087.04,0.13,-1.55,153
HT100008,ÖÆÈÈ×´Ì¬,11319.27,104088.59,5.71,58.65,2557
HT100008,³ýËª×´Ì¬,11313.56,104029.94,0.12,-0.78,158
HT100008,ÖÆÈÈ×´Ì¬,11313.44,104030.72,5.75,59.4,2535
HT100008,³ýËª×´Ì¬,11307.69,103971.32,0.2,-2.13,200
HT100008,ÖÆÈÈ×´Ì¬,11307.49,103973.45,6.08,59.53,2562
HT100008,³ýËª×´Ì¬,11301.41,103913.92,0.2,-1.97,194
HT100008,ÖÆÈÈ×´Ì¬,11301.21,103915.89,6.08,58.74,2565
HT100008,³ýËª×´Ì¬,11295.13,103857.15,0.14,-2.26,199
HT100008,ÖÆÈÈ×´Ì¬,11294.99,103859.41,6.02,57.85,2566
HT100008,³ýËª×´Ì¬,11288.97,103801.56,0.21,-2.32,249
HT100008,ÖÆÈÈ×´Ì¬,11288.76,103803.88,5.99,57.56,2575
